volt 1,volt 2,volt 3,volt 4,volt 5,volt 6,volt 7,volt 8,volt 9,volt 10,rotate 1,rotate 2,rotate 3,rotate 4,rotate 5,rotate 6,rotate 7,rotate 8,rotate 9,rotate 10,pressure 1,pressure 2,pressure 3,pressure 4,pressure 5,pressure 6,pressure 7,pressure 8,pressure 9,pressure 10,vibration 1,vibration 2,vibration 3,vibration 4,vibration 5,vibration 6,vibration 7,vibration 8,vibration 9,vibration 10,Error
164.9894503,190.9272184,179.5501162,168.3735245,177.7064417,175.9890771,194.9428467,174.1384011,177.5940893,175.2132796,418.0697914,437.9604413,502.7874563,489.9108978,521.8379364,510.2569761,418.8422713,489.2503152,459.9566698,486.4948038,80.66828673,85.26024735,109.9660202,114.0424062,101.5280331,92.36287247,95.89631223,91.92630609,96.65162442,104.4329622,42.6386787,40.56620182,41.73069767,36.09265642,35.46844404,36.37603366,47.16364845,32.3236161,52.99732688,47.87580372,1
178.9141066,170.8870275,176.2009834,153.5334174,180.6676289,180.7833309,173.774766,190.3591165,176.0670271,173.965464,475.5265797,450.2468497,427.2326621,396.7974463,379.9161671,421.6760657,434.6073146,453.1424939,453.2200052,440.1254856,80.11991815,97.37932334,92.91439531,120.1978295,110.1616707,83.67332445,105.0483401,101.9047485,84.40128053,81.95558715,42.91634313,37.68349669,44.90363918,33.45640834,41.22797023,39.450313,47.57123296,29.13390458,54.91954657,41.06781362,0
156.8661129,171.8264,190.4319599,166.4806837,154.1992579,156.9532459,164.1480946,157.2897489,166.0904091,163.7837044,405.8698402,439.8414888,427.6758878,487.4226764,469.8543126,462.0241817,429.8221435,416.0350041,425.8034313,520.5826944,98.6408163,87.87487125,116.0084041,90.42389187,85.75554623,106.3467179,104.5321236,93.10698556,87.68541785,97.16098389,54.69816262,55.76809656,55.06211046,66.76451473,47.94679272,48.82030086,43.78868155,48.41435912,57.92805735,56.44248773,1
171.9750131,187.7691928,216.9559364,191.5721308,177.9574304,193.4556245,200.4696279,170.571974,174.1797967,160.8758877,475.1571556,384.6511935,496.1372925,431.5254133,460.7047057,447.8796194,450.1815277,458.4917404,434.6050536,473.8846058,111.5213572,94.51208806,101.5028245,106.6961923,78.50428391,106.0379085,95.77211202,106.1612444,98.02488925,96.4347562,52.88479751,34.4190529,43.54008331,37.07039304,35.79322566,41.91490756,46.65241951,43.01504671,35.65668732,37.25658515,0
167.254238,176.1058415,179.3694969,195.1730862,168.9695952,165.1874013,192.0650858,195.564941,170.6486606,165.0101402,382.541315,428.3258218,374.1271481,436.1736201,467.2859046,475.1269368,506.5951286,384.1389048,464.1897259,448.4688379,104.485227,107.2668715,87.73743523,103.8332384,117.1482273,114.584421,113.6723006,106.5528278,103.7429474,97.70962953,39.27356747,52.36467547,49.15397246,49.94710205,58.39205017,57.54901573,57.80916166,49.65739163,58.45766734,48.23894111,1
170.8504733,169.5093773,188.9642184,174.4248183,159.9036977,171.7938244,162.2840524,168.9783264,152.7798213,168.2713328,407.5502895,477.8027339,472.9969538,491.7539541,438.7421133,447.7895067,493.5200547,472.8432312,423.8292972,417.519869,92.94665411,112.5867596,124.9209243,109.6186588,93.99881783,92.18029338,105.2015307,104.8104012,90.11531756,112.5129188,41.39294839,32.41150138,39.96681344,34.92401576,42.03141376,44.99411612,44.02217999,37.35559628,37.59141237,39.7506168,0
167.7566965,193.2497508,161.575812,160.2932412,172.1469824,170.3628297,162.4332271,146.2790479,170.4509963,159.2513495,448.3186675,419.2064081,505.2559648,487.3169162,439.2850684,504.1397865,511.2881714,451.2859122,470.8287436,462.6911984,110.5810236,87.15548548,96.54584961,95.25600969,86.47044999,98.82158709,119.7499264,105.0931486,98.78746553,108.2329854,40.99239707,49.08466398,35.389595,34.69857028,45.55877786,37.70418676,36.85942367,48.93007263,37.19282285,31.2000279,1
171.936281,159.4822557,202.3056082,165.4513079,182.1136967,183.964872,176.8235315,191.3813104,166.8651324,151.5289583,421.6566771,445.1759544,459.2621966,529.3983026,466.1410167,436.9874836,499.1230683,382.6443349,458.3817777,415.796336,102.8850087,100.1957127,106.79194,105.81401,85.68731951,102.9387282,99.7524032,97.00485186,88.7869402,101.9048724,45.90316304,42.27371884,41.26686753,51.16488581,49.79803251,31.18049961,31.3029183,37.44660424,32.76989258,40.54148688,0
155.6958486,174.7021807,179.1870996,144.6337516,181.7704794,170.178877,167.2811707,186.604316,192.1909231,152.7890084,569.4035852,469.5949717,519.8597953,487.0607251,535.5997064,463.217153,478.4588348,425.7383173,411.0515198,448.4578641,78.4242809,91.27974078,111.9314894,129.1556781,92.99776858,108.2262698,86.29190451,97.27434668,97.17166024,98.70950575,34.64022445,39.41404861,48.27099569,39.19030296,41.14277718,36.84738996,46.67657488,35.69976086,29.24265902,33.64244506,1
185.1819742,169.0980374,171.4922214,164.761673,185.5527992,191.3623472,193.5627319,155.488989,181.3892877,164.3571552,479.9736714,443.0288217,414.1040994,408.6959008,466.0588053,433.5344777,443.7689913,529.2494668,399.9557513,439.2608969,103.1239882,110.5843119,94.74413127,83.17602859,111.7550927,83.74763582,97.35468333,89.52064817,96.5231796,108.7391169,40.86662248,47.73443271,43.75896684,39.60115714,45.70903716,31.4317432,43.6697224,38.44890215,29.43247993,39.2232002,0
